contractId,infraYear,budget,ndbi_d,ndvi_d,bsi_d,change_class,confidence,flagged,reason
16AA0101,2016,9554175.99,,,,insufficient_data,0.0,False,no_imagery
17AB0251,2016,5430150.0,-0.0854,0.0042,-0.08,partial_construction,0.256,True,completed_minimal_construction_evidence
16JD0002,2016,29400000.0,,,,insufficient_data,0.0,False,no_imagery
15OB0319,2016,17369752.15,,,,insufficient_data,0.0,False,no_imagery
16DF0002,2016,27287617.38,,,,insufficient_data,0.0,False,no_imagery
16CI0013,2016,46057460.71,,,,insufficient_data,0.0,False,no_imagery
15EA0091,2016,1831364.34,,,,insufficient_data,0.0,False,no_imagery
15OB0375,2016,17367975.38,,,,insufficient_data,0.0,False,no_imagery
16AH0065,2016,28517714.41,-0.0452,0.0243,-0.049,no_change,0.955,True,completed_no_satellite_change
16OC0026,2016,16954996.36,,,,insufficient_data,0.0,False,no_imagery
16FA0014,2016,48999998.96,,,,insufficient_data,0.0,False,no_imagery
16DF0003,2016,27872765.03,,,,insufficient_data,0.0,False,no_imagery
17AB0242,2016,44843040.0,-0.036,-0.0025,-0.0297,no_change,0.964,True,completed_no_satellite_change
15OF0250,2016,13172100.0,,,,insufficient_data,0.0,False,no_imagery
17DK0016,2016,13510000.0,,,,insufficient_data,0.0,False,no_imagery
16FK0009,2016,8624628.94,,,,insufficient_data,0.0,False,no_imagery
16CJ0158,2016,24422609.3,0.0851,-0.0986,0.0759,partial_construction,0.255,True,completed_minimal_construction_evidence
16AH0097,2016,19241208.71,-0.0268,0.0152,-0.0285,no_change,0.973,True,completed_no_satellite_change
15AI0400,2016,13964987.99,-0.0188,0.0717,-0.0282,no_change,0.928,True,completed_no_satellite_change
17PL0204,2016,76799999.98,,,,insufficient_data,0.0,False,no_imagery
15OF0207,2016,12723883.18,,,,insufficient_data,0.0,False,no_imagery
15LC0200,2016,29617560.0,,,,insufficient_data,0.0,False,no_imagery
16G00185,2016,1948914.0,,,,insufficient_data,0.0,False,no_imagery
16CD0113,2016,35440362.72,,,,insufficient_data,0.0,False,no_imagery
15FL0091,2016,46534217.81,,,,insufficient_data,0.0,False,no_imagery
15DG0114,2016,18186754.01,,,,insufficient_data,0.0,False,no_imagery
16OB0077,2016,44380399.7,,,,insufficient_data,0.0,False,no_imagery
16JI0013,2016,30354022.78,,,,insufficient_data,0.0,False,no_imagery
16CH0022,2016,46570034.68,,,,insufficient_data,0.0,False,no_imagery
15DG0135,2016,26486911.32,,,,insufficient_data,0.0,False,no_imagery
15LC0204,2016,19135480.0,,,,insufficient_data,0.0,False,no_imagery
15BH0207,2016,37393750.0,,,,insufficient_data,0.0,False,no_imagery
15OB0496,2016,8679821.96,,,,insufficient_data,0.0,False,no_imagery
16DN0048,2016,38690392.1,,,,insufficient_data,0.0,False,no_imagery
17AB0240,2016,46149840.0,-0.0146,0.0924,-0.0007,partial_construction,0.185,True,completed_minimal_construction_evidence
15OD0135,2016,17784099.48,,,,insufficient_data,0.0,False,no_imagery
17AB0236,2016,13061070.0,,,,insufficient_data,0.0,False,no_imagery
15OB0502,2016,5645327.96,,,,insufficient_data,0.0,False,no_imagery
15BC0170,2016,16070138.64,,,,insufficient_data,0.0,False,no_imagery
16BD0005,2016,37998762.23,,,,insufficient_data,0.0,False,no_imagery
15II0140,2016,41248016.06,,,,insufficient_data,0.0,False,no_imagery
16OB0096,2016,35872764.56,,,,insufficient_data,0.0,False,no_imagery
15LC0249,2016,19800000.0,,,,insufficient_data,0.0,False,no_imagery
16JH0073,2016,18772242.43,,,,insufficient_data,0.0,False,no_imagery
15OF0249,2016,17369900.0,,,,insufficient_data,0.0,False,no_imagery
16FB0023,2016,20568069.22,,,,insufficient_data,0.0,False,no_imagery
17DK0232,2016,1414153.8,,,,insufficient_data,0.0,False,no_imagery
16AB0049,2016,4949976.96,-0.008,-0.0519,0.0017,no_change,0.948,True,completed_no_satellite_change
15CJ0175,2016,46113594.71,-0.0062,0.0429,-0.02,no_change,0.957,True,completed_no_satellite_change
16OB0216,2016,17144000.0,,,,insufficient_data,0.0,False,no_imagery
16CJ0161,2016,10450351.66,0.0144,-0.0956,-0.0057,partial_construction,0.191,True,completed_minimal_construction_evidence
16FA0004,2016,36002906.44,,,,insufficient_data,0.0,False,no_imagery
15CI0132,2016,46549055.0,,,,insufficient_data,0.0,False,no_imagery
16CF0229,2016,12897263.3,,,,insufficient_data,0.0,False,no_imagery
