tenement_no,name,type,commodity,operator,province,municipality,operation_status,date_approved,date_expiration,permit_ha,lat,lng,inside_bare_before_ha,scenes_before,inside_bare_after_ha,scenes_after,pct_cleared,footprint_growth_ha,ring_bare_before_ha,ring_bare_after_ha,overrun_flag_ha,overrun_growth_ha,flagged
FTAA No. 02-95-XIAmended,"Sagittarius Mines, Inc.",FTAA,"Gold, copper",Roy O. Deveraturda,"South Cotabato, Sultan Kudarat, Sarangani and Davao del Sur","Tampakan, Kiblawan, and Tulunan",With development/construction activity,1995-03-21,2038-03-21,44645.0,6.51571,125.16388,52.0,150,50.3,164,0.1,-1.7,,,,,False
MPSA No. 337-2010-II-OMR,Peniel Resources Mining Corporation,MPSA,Magnetite and other assoc,Anthony James K. Gil,Cagayan,"Offshore areas of Sanchez Mira, Pamplona, Abulug, Ballesteros, Aparri, Buguey and Gonzaga",With development/construction activity,2010-06-08,2035-06-08,14893.3,18.55167,121.46531,0.0,589,0.0,586,0.0,0.0,,,,,False
MPSA No. 072-97-XIII-SMR-Amended A,"Pacific Nickel Philippines, Inc.",MPSA,Nickel,John Paul L. Ang,Surigao del Norte,Surigao City (Capital),With development/construction activity,1997-08-06,2031-08-06,11151.0,9.85047,125.62199,743.8,294,706.3,318,6.3,-37.5,34.6,36.5,36.5,1.9,False
MPSA No. 357-2025-IX,Florjenmar Mining and Development Corporation,MPSA,Nickel,"Mariano C. Candelaria, Jr.",Zamboanga Del Norte,Gutalac,With commercial operation,2025-03-10,2050-03-10,7856.7,7.95334,122.32651,14.7,149,21.2,158,0.3,6.5,,,,,False
FTAA No. 001,"Oceanagold (Philippines), Inc.",FTAA,"Gold, copper",Atty. Joan D. Adaci-Cattiling,Nueva Vizcaya and Quirino,Kasibu,With commercial operation,1994-06-19,2044-06-19,7793.2,16.33617,121.44428,145.5,288,166.8,322,2.1,21.3,18.4,25.4,25.4,7.0,False
MPSA No. 263-2008-XI (Amended I) B,Riverbend Consolidated Mining Corporation,MPSA,Nickel,Nicanor L. Escalante,Davao Oriental,Banaybanay,With commercial operation,2008-04-29,2033-04-29,6477.3,7.0865,126.00972,9.9,587,86.6,639,1.3,76.7,,,,,False
MPSA No. 197-2004-XI (Amended),Austral-Asia Link Mining Corporation,MPSA,Nickel,Pedro O. Tan,Davao Oriental,City of Mati (Capital),With commercial operation,2004-06-07,2029-06-07,6151.9,6.63277,126.20416,92.0,148,131.6,162,2.1,39.6,71.7,74.4,74.4,2.7,False
MPSA No. 196-2004-XI (Amended),Hallmark Mining Corporation,MPSA,Nickel,Pedro O. Tan,Davao Oriental,City of Mati (Capital),With development/construction activity,2004-06-07,2029-06-07,5848.4,6.76926,126.22094,60.7,148,65.5,162,1.1,4.8,,,,,False
MPSA No. 007-92-X-SMR-Amended I,Surigao Integrated Resources Corporation,MPSA,Nickel,Atty. Dante R. Bravo,Surigao del Norte,Claver,With commercial operation,1992-02-13,2042-02-13,5351.1,9.45716,125.82639,618.0,296,729.7,319,13.6,111.7,72.5,68.2,68.2,-4.3,False
MPSA No. 016-93-X,Marcventures Mining & Development Corporation,MPSA,Nickel,Eduardo M. Francisco,Surigao del Sur,Cantilan,With commercial operation,1993-06-30,2027-06-30,5097.4,9.28634,125.88056,291.9,147,480.4,159,9.4,188.5,22.1,24.4,24.4,2.3,False
MPSA No. 086-97-IX,"TVI Resource Development Philippines, Inc.",MPSA,Gold and silver,Michael G. Regino,Zamboanga del Norte; Zamboanga Sibugay,"Bayog, Zamboanga del Sur; Godod; Kabasalan",With commercial operation,1997-11-19,2047-11-19,5049.3,7.88228,122.93056,12.2,145,96.7,159,1.9,84.5,,,,,False
MPSA No. 255-2007-V Amended I,Filminera Resources Corporation,MPSA,Gold,Crispiniano G. Acosta,Masbate,Aroroy,With commercial operation,2007-07-29,2032-07-29,5048.8,12.42785,123.40797,122.7,143,146.9,157,2.9,24.2,161.2,116.3,116.3,-44.9,False
